,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
1888,Q29365,Mutsuko Miki,Japanese activist,Female,Japan,Human rights activist; peace activist,1917,2012.0,natural causes,95.0
474599,Q5531454,Gene Smith,American baseball player,Male,United States of America,Athlete,1917,2011.0,natural causes,94.0
352972,Q3756904,Pete T. Cenarrusa,American politician,Male,United States of America,Politician,1917,2013.0,natural causes,96.0
100278,Q732039,Fyodor Khitruk,Russian animator and film director,Male,Russia; Soviet Union,Artist,1917,2012.0,natural causes,95.0
592206,Q7156926,Payton Jordan,"Masters Sprinter, Track Coach",Male,United States of America,Athlete,1917,2009.0,natural causes,92.0
258735,Q2557554,Herbert Saffir,American scientist,Male,United States of America,Engineer,1917,2007.0,natural causes,90.0
802139,Q16018983,Héctor Benítez,Venezuelan professional baseball player,Male,Venezuela,Athlete,1918,2011.0,natural causes,93.0
404996,Q4726135,Alice Van-Springsteen,"American stuntwoman, jockey",Female,United States of America,Stunt performer; jockey; stunt double,1918,2008.0,natural causes,90.0
788435,Q15972655,Louie Welch,American politician,Male,United States of America,Politician,1918,2008.0,natural causes,90.0
598982,Q7297319,Ray Charles,"American conductor, musician, singer, songwriter, vocal arranger",Male,United States of America,Artist,1918,2015.0,natural causes,97.0
77706,Q531718,Efrem Zimbalist Jr.,American actor,Male,United States of America,Artist,1918,2014.0,natural causes,96.0
318608,Q3270053,Joseph Fan Zhongliang,Catholic bishop from China,Male,People's Republic of China,Religious figure,1918,2014.0,natural causes,96.0
98655,Q721943,Eddy Arnold,"American country music singer, songwriter",Male,United States of America,Artist,1918,2008.0,natural causes,90.0
338417,Q3521777,K. Karunakaran,Indian politician,Male,India; British Raj,Politician,1918,2010.0,natural causes,92.0
314652,Q3194239,Katsumi Nishikawa,Japanese film director,Male,Japan,Artist,1918,2010.0,natural causes,92.0
79840,Q546756,Avery Dulles,Catholic cardinal,Male,United States of America,Religious figure,1918,2008.0,natural causes,90.0
44485,Q271367,Helen Wagner,American actress,Female,United States of America,Artist,1918,2010.0,natural causes,92.0
164738,Q1434670,Sotero Laurel,Filipino politician (1918-2009),Male,Philippines,Politician,1918,2009.0,natural causes,91.0
790660,Q15993485,Albert Seedman,officer with the New York City Police Department (1918-2013),Male,United States of America,Artist,1918,2013.0,natural causes,95.0
81404,Q557185,B. K. S. Iyengar,Indian yoga teacher and scholar,Male,India; British Raj,Artist,1918,2014.0,natural causes,96.0
82273,Q562148,Cachao,Cuban musician,Male,Cuba,Artist,1918,2008.0,natural causes,90.0
319126,Q3275708,Madeleine Parent,Canadian activist,Female,Canada,Trade unionist,1918,2012.0,natural causes,94.0
594400,Q7176189,Peter O'Sullevan,Irish horse racing reporter,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Athlete,1918,2015.0,natural causes,97.0
209,Q2516,Helmut Schmidt,"Chancellor of West Germany (1974-1982), SPD",Male,Germany,Artist,1918,2015.0,natural causes,97.0
608594,Q7357726,Rogelio Martínez,Cuban baseball player,Male,Cuba,Athlete,1918,2010.0,accident,92.0
535153,Q6152910,Jane Weinberger,"American writer, publisher",Female,United States of America,Artist,1918,2009.0,natural causes,91.0
430273,Q5044702,Carole Lynne,British actress (1918-2008),Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1918,2008.0,natural causes,90.0
644160,Q8015436,William McIntyre,Canadian judge,Male,Canada,Judge,1918,2009.0,natural causes,91.0
247827,Q2348194,Arnold Stang,actor,Male,United States of America,Artist,1918,2009.0,natural causes,91.0
495454,Q5698447,Antonio Gargallo Mejía,Spanish conscientious objector executed during the Civil War,Male,Spain,Conscientious objection,1918,1937.0,homicide,19.0
49164,Q315217,John Forsythe,American film and television actor (1918-2010),Male,United States of America,Artist,1918,2010.0,natural causes,92.0
631584,Q7862719,Tōru Shōriki,Japanese businessman,Male,Japan,Businessperson,1918,2011.0,natural causes,93.0
137198,Q1206676,Bob Feller,Major League Baseball player,Male,United States of America,Athlete,1918,2010.0,natural causes,92.0
248514,Q2363619,Morton Lachman,American writer and producer,Male,United States of America,Artist,1918,2009.0,natural causes,91.0
36151,Q180398,Jørn Utzon,Danish architect,Male,Denmark,Architect,1918,2008.0,natural causes,90.0
35044,Q171454,Oral Roberts,"Christian religious leader, healing evangelist, author, educator, television personality",Male,United States of America,Televangelist,1918,2009.0,natural causes,91.0
622726,Q7678051,Takeo Kimura,Japanese film director,Male,Japan,Artist,1918,2010.0,natural causes,92.0
457400,Q5349381,Eileen Herlie,British actress (1918-2008),Female,United States of America,Artist,1918,2008.0,natural causes,90.0
114084,Q912687,James Kirkup,British writer,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1918,2009.0,natural causes,91.0
37585,Q201500,Gerald Wilson,American trumpetist (1918-2014),Male,United States of America,Artist,1918,2014.0,natural causes,96.0
150774,Q1335058,Griffin Bell,American judge (1918-2009),Male,United States of America,Politician,1918,2009.0,natural causes,91.0
2169,Q34474,Aleksandr Solzhenitsyn,Russian writer,Male,Russia; Soviet Union; Russian Soviet Federative Socialist Republic,Researcher,1918,2008.0,natural causes,90.0
128840,Q1079769,Ernie Harwell,American sportscaster,Male,United States of America,Athlete,1918,2010.0,natural causes,92.0
466793,Q5481282,Francis Heydt,American swimmer,Male,United States of America,Athlete,1918,2008.0,natural causes,90.0
470707,Q5494941,Fred Cusick,American sportscaster,Male,United States of America,Television presenter,1918,2009.0,natural causes,91.0
117424,Q946934,Huber Matos,Cuban revolutionary (1918-2014),Male,Cuba,Politician,1918,2014.0,natural causes,96.0
134132,Q1146351,Allan Arbus,"American film, television actor, photographer",Male,United States of America,Artist,1918,2013.0,natural causes,95.0
541975,Q6213323,Joel Colton,American historian,Male,United States of America,Researcher,1918,2011.0,natural causes,93.0
413948,Q4815670,Athos Bulcão,Brazilian artist (1918-2008),Male,Brazil,Artist,1918,2008.0,natural causes,90.0
59047,Q365810,Yossi Harel,Israeli intelligence officer,Male,Israel,Military personnel,1918,2008.0,natural causes,90.0
417845,Q4893207,"Sabino Fernández Campo, 1st Count of Latores",Grandee of Spain,Male,Spain,Military personnel,1918,2009.0,natural causes,91.0
424300,Q4952873,Bozo Miller,American competitive eater,Male,United States of America,Businessperson,1918,2008.0,natural causes,90.0
241834,Q2193305,Jerry Adler,harmonica player,Male,United States of America,Artist,1918,2010.0,natural causes,92.0
4444,Q58743,Günther Rall,German general and fighter pilot during World War II,Male,Germany,Artist,1918,2009.0,natural causes,91.0
1041543,Q28774076,Joe Thompson,American musician,Male,United States of America,Fiddler,1918,2012.0,natural causes,94.0
890748,Q18708288,Sally Luther,American politician,Female,United States of America,Politician,1918,2015.0,natural causes,97.0
45307,Q275616,Marian McPartland,"British pianist, composer, writer and radio host",Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1918,2013.0,natural causes,95.0
699037,Q11704086,Stephen Pace,American abstract and figurative artist (1918-2010),Male,United States of America,Artist,1918,2010.0,natural causes,92.0
239378,Q2157123,Terry Spencer,"World War II Royal Air Force fighter pilot, and later a war photographer for Life magazine",Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1918,2009.0,natural causes,91.0
148880,Q1316296,Gene Polito,American cinematographer,Male,United States of America,Cinematographer,1918,2010.0,natural causes,92.0
1033133,Q28052592,Sarah Greenaway Miall,English rally driver and novelist,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Novelist; rally driver,1918,2010.0,natural causes,92.0
532683,Q6139544,James McNulty,Canadian politician,Male,Canada,Politician,1918,2011.0,natural causes,93.0
632384,Q7921880,Vern Pyles,American politician,Male,United States of America,Politician,1919,2013.0,natural causes,94.0
510661,Q5919569,Howard Engle,American pediatrician,Male,United States of America,Researcher,1919,2009.0,natural causes,90.0
544748,Q6225150,John Carl Warnecke,American architect,Male,United States of America,Architect,1919,2010.0,natural causes,91.0
481094,Q5546136,George Weissman,American businessman,Male,United States of America,Military personnel,1919,2009.0,accident,90.0
338469,Q3523704,Theodore Sourkes,Canadian biochemist and chemist (1919-2015),Male,Canada,Researcher,1919,2015.0,natural causes,96.0
801773,Q16018454,Amelia Gordon,Filipino politician,Female,Philippines,Politician,1919,2009.0,natural causes,90.0
350515,Q3734229,Eugene Allen,American waiter and butler,Male,United States of America,Majordomo,1919,2010.0,natural causes,91.0
55690,Q349346,George Shearing,British-American jazz pianist,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1919,2011.0,natural causes,92.0
648537,Q8062484,Yvonne Mounsey,dancer,Female,South Africa,Ballet dancer,1919,2012.0,natural causes,93.0
496030,Q5701933,Helen Boosalis,American politician,Female,United States of America,Politician,1919,2009.0,natural causes,90.0
410667,Q4791529,Arjan Singh,Marshal of the Indian Air Force,Male,India; British Raj,Politician,1919,2017.0,natural causes,98.0
650086,Q8276945,Wang Tso-jung,Taiwanese politician,Male,Taiwan; Republic of China (1912–1949),Businessperson,1919,2013.0,natural causes,94.0
407252,Q4758439,Andrew Roth,American-British journalist involved in Amerasia case,Male,United States of America,Artist,1919,2010.0,natural causes,91.0
410745,Q4792759,Armando Falcão,Brazilian politician,Male,Brazil,Politician,1919,2010.0,natural causes,91.0
609593,Q7364369,Ron Searle,politician,Male,Canada,Politician,1919,2015.0,natural causes,96.0
76757,Q525037,David Blackwell,American mathematician,Male,United States of America,Researcher,1919,2010.0,natural causes,91.0
27636,Q113786,Karl H. Pribram,Austrian neuroscientist,Male,United States of America; Austria,Researcher,1919,2015.0,natural causes,96.0
403080,Q4720024,Alexander Saxton,"American professor, historian, novelist",Male,United States of America,Researcher,1919,2012.0,suicide,93.0
578047,Q6789715,Matteo Vittucci,American ballet dancer and choreographer,Male,United States of America,Choreographer,1919,2011.0,natural causes,92.0
45239,Q275188,Jean Craighead George,American novelist and nature writer,Female,United States of America,Artist,1919,2012.0,natural causes,93.0
582249,Q6861052,Milton Crenchaw,American pilot,Male,United States of America,Military personnel,1919,2015.0,natural causes,96.0
26682,Q110935,William Lipscomb,Nobel Prize-winning American inorganic and organic chemist,Male,United States of America,Researcher,1919,2011.0,natural causes,92.0
574791,Q6760022,Margaret Whitlam,"wife of Gough Whitlam, an Australian prime minister",Female,Australia,Athlete,1919,2012.0,accident,93.0
396360,Q4582683,Joachim Rønneberg,Norwegian resistance member,Male,Norway,Military personnel,1919,2018.0,natural causes,99.0
82078,Q561157,Juan Carlos Muñoz,Argentine footballer and manager,Male,Argentina,Athlete,1919,2009.0,natural causes,90.0
47020,Q292446,Frances Bay,Canadian actress,Female,Canada; United States of America,Artist,1919,2011.0,natural causes,92.0
387039,Q4357264,Ervin Drake,American songwriter (1919-2015),Male,United States of America,Artist,1919,2015.0,natural causes,96.0
44416,Q270753,Phyllis Thaxter,American actress,Female,United States of America,Artist,1919,2012.0,natural causes,93.0
32667,Q138166,Michel Déon,French writer,Male,France,Artist,1919,2016.0,natural causes,97.0
69847,Q465407,Doris Singleton,actress (1919-2012),Female,United States of America,Artist,1919,2012.0,natural causes,93.0
84373,Q584500,Ludovic Kennedy,British journalist and broadcaster,Male,United Kingdom,Artist,1919,2009.0,natural causes,90.0
34623,Q167573,Mikhail Kalashnikov,Soviet and Russian small arms designer,Male,Russia; Soviet Union,Engineer,1919,2013.0,natural causes,94.0
654300,Q9064696,Wang Guangying,Chinese entrepreneur and politician,Male,People's Republic of China; Republic of China (1912–1949),Politician,1919,2018.0,natural causes,99.0
68353,Q457165,Richard Todd,Irish-British actor (1919-2009),Male,Ireland; United Kingdom,Artist,1919,2009.0,natural causes,90.0
566610,Q6515427,Lee Vines,Canadian Born-American game show announcer,Male,Canada,Artist,1919,2011.0,natural causes,92.0
459818,Q5371978,Emilio Álvarez Montalván,"Ophthalmologist, politician, writer; Foreign Minister of Nicaragua",Male,Nicaragua,Politician,1919,2014.0,natural causes,95.0
565435,Q6490249,Larry Eisenberg,American writer,Male,United States of America,Artist,1919,2018.0,natural causes,99.0
474677,Q5533376,Gennaro Angiulo,Mob boss,Male,United States of America,Military personnel,1919,2009.0,natural causes,90.0
65940,Q444990,Patricia Medina,English actress (1919-2012),Female,United Kingdom,Artist,1919,2012.0,natural causes,93.0
81572,Q558368,Gene Barry,"American stage, screen, and television actor (1919-2009)",Male,United States of America,Artist,1919,2009.0,natural causes,90.0
256496,Q2522641,Victor Zarnowitz,Polish economist,Male,United States of America; Poland,Researcher,1919,2009.0,natural causes,90.0
236421,Q2096892,Peter L. Bernstein,American academic,Male,United States of America,Businessperson,1919,2009.0,natural causes,90.0
974934,Q21604021,"Stewart W. Bainum, Sr.",American businessman and philanthropist (1919–2014),Male,United States of America,Businessperson,1919,2014.0,natural causes,95.0
266342,Q2640722,Alejandro Robaina,Cuban farmer,Male,Cuba,Farmer; producer,1919,2010.0,natural causes,91.0
3887,Q55835,Ryszard Kaczorowski,"Polish statesman, Last President of Poland in Exile (1919-2010)",Male,Poland,Politician,1919,2010.0,accident,91.0
115420,Q928362,Janet Waldo,American actress,Female,United States of America,Artist,1919,2016.0,natural causes,97.0
264269,Q2611196,Michael Ross,"Screenwriter for All in the Family, The Jeffersons, Three's Company",Male,United States of America,Artist,1919,2009.0,natural causes,90.0
875117,Q18392091,"Frank Stallone, Sr.","Italian-American hairdresser, writer and actor",Male,United States of America; Italy; Kingdom of Italy,Hairdresser,1919,2011.0,natural causes,92.0
